Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Arijan,Ademi,MKD,Midfielder,Dinamo Zagreb,30,5,1,90,0,0,0,0
Ezgjan,Alioski,MKD,Midfielder,Leeds,29,8,1,90,0,0,1,0
Ferhan,Hasani,MKD,Midfielder,Partizani,30,11,0,0,0,0,0,0
Tihomir,Kostadinov,MKD,Midfielder,Ružomberok,25,15,1,27,0,0,0,0
Boban,Nikolov,MKD,Midfielder,Lecce,26,16,1,63,0,0,0,0
Enis,Bardi,MKD,Midfielder,Levante,25,17,1,82,0,0,0,0
Stefan,Spirovski,MKD,Midfielder,AEK Larnaca,30,20,0,0,0,0,0,0
Eljif,Elmas,MKD,Midfielder,Napoli,21,21,1,90,0,0,0,0
Darko,Churlinov,MKD,Midfielder,Stuttgart,20,25,0,0,0,0,0,0
Milan,Ristovski,MKD,Midfielder,Spartak Trnava,23,26,1,4,0,0,0,0
Ivan,Tričkovski,MKD,Forward,AEK Larnaca,34,7,1,8,0,0,0,0
Aleksandar,Trajkovski,MKD,Forward,Mallorca,28,9,1,63,0,0,1,0
Goran,Pandev,MKD,Forward,Genoa,37,10,1,90,1,0,0,0
Vlatko,Stojanovski,MKD,Forward,Chambly,24,18,0,0,0,0,0,0
Krste,Velkovski,MKD,Forward,Sarajevo,33,19,0,0,0,0,0,0
Marjan,Radeski,MKD,Forward,Akademija Pandev,26,23,0,0,0,0,0,0
Daniel,Avramovski,MKD,Forward,Kayserispor,26,24,0,0,0,0,0,0
Wojciech,Szczęsny,POL,Goalkeeper,Juventus,31,1,1,90,0,1,0,0
Łukasz,Skorupski,POL,Goalkeeper,Bologna,30,12,0,0,0,0,0,0
Łukasz,Fabiański,POL,Goalkeeper,West Ham,36,22,0,0,0,0,0,0
Kamil,Piątkowski,POL,Defender,Raków,20,2,0,0,0,0,0,0
Tomasz,Kędziora,POL,Defender,Dynamo Kyiv,27,4,0,0,0,0,0,0
Jan,Bednarek,POL,Defender,Southampton,25,5,1,90,0,0,0,0
Maciej,Rybus,POL,Defender,Lokomotiv Moskva,31,13,1,74,0,0,0,0
Kamil,Glik,POL,Defender,Benevento,33,15,1,90,0,0,0,0
Bartosz,Bereszyński,POL,Defender,Sampdoria,28,18,1,90,0,0,0,0
Michał,Helik,POL,Defender,Barnsley,25,25,0,0,0,0,0,0
Tymoteusz,Puchacz,POL,Defender,Lech,22,26,1,16,0,0,0,0
Paweł,Dawidowicz,POL,Midfielder,Verona,26,3,0,0,0,0,0,0
Kacper,Kozłowski,POL,Midfielder,Pogoń,17,6,0,0,0,0,0,0
Karol,Linetty,POL,Midfielder,Torino,26,8,1,74,1,0,0,0
Grzegorz,Krychowiak,POL,Midfielder,Lokomotiv Moskva,31,10,1,62,0,0,2,1
Mateusz,Klich,POL,Midfielder,Leeds,31,14,1,85,0,0,0,0
Jakub,Moder,POL,Midfielder,Brighton,22,16,1,5,0,0,0,0
Przemysław,Płacheta,POL,Midfielder,Norwich,23,17,0,0,0,0,0,0
Przemysław,Frankowski,POL,Midfielder,Chicago Fire,26,19,1,16,0,0,0,0
Piotr,Zieliński,POL,Midfielder,Napoli,27,20,1,85,0,0,0,0
Kamil,Jóźwiak,POL,Midfielder,Derby,23,21,1,90,0,0,0,0
Robert,Lewandowski,POL,Forward,Bayern,32,9,1,90,0,0,0,0
Karol,Świderski,POL,Forward,PAOK,24,11,1,5,0,0,0,0
Dawid,Kownacki,POL,Forward,Düsseldorf,24,23,0,0,0,0,0,0
Jakub,Świerczok,POL,Forward,Ludogorets,28,24,0,0,0,0,0,0
Patrício,Rui,POR,Goalkeeper,Wolves,33,1,1,90,0,3,0,0
Anthony,Lopes,POR,Goalkeeper,Lyon,30,12,0,0,0,0,0,0
Silva,Rui,POR,Goalkeeper,Granada,27,22,0,0,0,0,0,0
Semedo,Nélson,POR,Defender,Wolves,27,2,1,90,0,0,0,0
Pepe,Pepe,POR,Defender,Porto,38,3,1,90,0,0,0,0
Dias,Rúben,POR,Defender,Man. City,24,4,1,90,0,0,1,0
Raphaël,Guerreiro,POR,Defender,Dortmund,27,5,1,90,1,0,0,0
José,Fonte,POR,Defender,LOSC,37,6,0,0,0,0,0,0
Diogo,Dalot,POR,Defender,Man. United,22,20,0,0,0,0,0,0
Mendes,Nuno,POR,Defender,Sporting CP,18,25,0,0,0,0,0,0
Moutinho,João,POR,Midfielder,Wolves,34,8,1,1,0,0,0,0
Silva,Bernardo,POR,Midfielder,Man. City,26,10,1,71,0,0,0,0
Fernandes,Bruno,POR,Midfielder,Man. United,26,11,1,89,0,0,0,0
Danilo,Danilo,POR,Midfielder,Paris,29,13,1,90,0,0,0,0
Carvalho,William,POR,Midfielder,Betis,29,14,1,81,0,0,0,0
